ror_id,field,value,duplicated_in
https://ror.org/0012c7r22,names_4_lang,en,names_2_lang
https://ror.org/0012c7r22,names_5_lang,en,names_2_lang
https://ror.org/01h04ms65,external_ids_0_preferred,100006162,external_ids_0_all_0
https://ror.org/01h04ms65,external_ids_1_preferred,grid.431453.4,external_ids_1_all_0
https://ror.org/01h04ms65,names_2_value,U.S. Energy Information Administration,names_1_value
https://ror.org/01h04ms65,names_3_lang,en,names_2_lang
https://ror.org/0431j1t39,external_ids_0_preferred,grid.412984.2,external_ids_0_all_0
https://ror.org/0431j1t39,relationships_1_type,child,relationships_0_type
https://ror.org/04nnxen11,external_ids_0_preferred,100006143,external_ids_0_all_0
https://ror.org/04nnxen11,external_ids_1_preferred,grid.483304.8,external_ids_1_all_0
https://ror.org/04nnxen11,names_3_lang,en,names_2_lang
https://ror.org/046rm7j60,external_ids_0_preferred,100007185,external_ids_0_all_0
https://ror.org/046rm7j60,external_ids_1_preferred,grid.19006.3e,external_ids_1_all_0
https://ror.org/046rm7j60,external_ids_2_preferred,0000 0001 2167 8097,external_ids_2_all_1
https://ror.org/046rm7j60,relationships_3_type,related,relationships_2_type
https://ror.org/046rm7j60,relationships_4_type,related,relationships_2_type
https://ror.org/046rm7j60,relationships_5_type,related,relationships_2_type
